0:0:0:0:0:0:0:1 - - [31/May/2022:10:00:06 +0900] "GET /LectureWeb/jquery/exam06.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2022:10:00:06 +0900] "GET /LectureWeb/jquery/image/images.jpg HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [31/May/2022:10:00:06 +0900] "GET /LectureWeb/jquery/exam06.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2022:10:00:06 +0900] "GET /LectureWeb/jquery/image/images.jpg HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [31/May/2022:10:02:19 +0900] "GET /LectureWeb/jquery/exam06.html HTTP/1.1" 200 1718
0:0:0:0:0:0:0:1 - - [31/May/2022:10:02:19 +0900] "GET /LectureWeb/jquery/image/images.jpg HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [31/May/2022:10:02:23 +0900] "GET /LectureWeb/jquery/exam06.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2022:10:02:23 +0900] "GET /LectureWeb/jquery/image/images.jpg HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [31/May/2022:10:02:55 +0900] "GET /LectureWeb/jquery/exam06.html HTTP/1.1" 200 1716
0:0:0:0:0:0:0:1 - - [31/May/2022:10:02:55 +0900] "GET /LectureWeb/jquery/image/images.jpg HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [31/May/2022:10:02:55 +0900] "GET /LectureWeb/jquery/image/images.jpg HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [31/May/2022:10:02:59 +0900] "GET /LectureWeb/jquery/exam06.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2022:10:02:59 +0900] "GET /LectureWeb/jquery/image/images.jpg HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [31/May/2022:10:02:59 +0900] "GET /LectureWeb/jquery/exam06.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2022:10:02:59 +0900] "GET /LectureWeb/jquery/image/images.jpg HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [31/May/2022:10:02:59 +0900] "GET /LectureWeb/jquery/exam06.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2022:10:02:59 +0900] "GET /LectureWeb/jquery/image/images.jpg HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [31/May/2022:10:05:26 +0900] "GET /LectureWeb/jquery/exam06.html HTTP/1.1" 200 2025
0:0:0:0:0:0:0:1 - - [31/May/2022:10:05:26 +0900] "GET /LectureWeb/jquery/image/images.jpg HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [31/May/2022:10:05:26 +0900] "GET /LectureWeb/jquery/exam06.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2022:10:05:26 +0900] "GET /LectureWeb/jquery/image/images.jpg HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [31/May/2022:10:05:27 +0900] "GET /LectureWeb/jquery/exam06.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2022:10:05:27 +0900] "GET /LectureWeb/jquery/image/images.jpg HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [31/May/2022:10:07:54 +0900] "GET /LectureWeb/jquery/exam06.html HTTP/1.1" 200 2334
0:0:0:0:0:0:0:1 - - [31/May/2022:10:07:54 +0900] "GET /LectureWeb/jquery/image/images.jpg HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [31/May/2022:10:07:54 +0900] "GET /LectureWeb/jquery/image/images.jpg HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [31/May/2022:10:07:58 +0900] "GET /LectureWeb/jquery/exam06.html HTTP/1.1" 304 -
